Descending order of local infl score,user@mention,Rank
6041.0,RepSwalwell,1
3019.0,ashlyn_marie__,2
955.0,FutMexNation,3
886.0,ClubFutbolEST15,4
665.0,pablo_zabaleta,5
497.0,Crunchyroll,6
409.0,dharmieKING,7
390.0,hsdarlings,8
351.0,EFHRK,9
287.0,DatHurdler_Theo,10
261.0,lynzlovemoss,11
259.0,PatohShanqueels,12
258.0,Light_Iverson_,13
251.0,en_hahaha,14
241.0,TVietor08,15
225.0,TaeMelo,16
206.0,dadtellsjokes,17
197.0,TheHerd,18
194.0,overtime,19
188.0,IndyFootball,20
163.0,PaulHawksbee,21
142.0,heslwtwoghosts,22
137.0,J23app,23
110.0,nflgems,24
109.0,RodTheKicker3,25
107.0,football_mumble,26
98.0,_SOLISIS_,27
98.0,theunique_holly,28
94.0,HoopsWeiss,29
92.66666666666667,NetCastSports,30
89.0,falklands_utd,31
89.0,FizzVsTheWorld,32
79.0,bycycle,33
76.5,VascodaGama,34
76.0,crush_cafe,35
73.0,scotgov,36
71.0,SneakerPics23,37
70.0,txnakac,38
68.0,Sports_Greats,39
67.0,ManUnitedZone_,40
67.0,Ajayi360,41
65.5,makloubae,42
64.0,miraclesoftball,43
60.0,peta2,44
60.0,itvfootball,45
55.0,Sports22384807,46
55.0,mashable,47
55.0,ChaniThaHippie,48
54.0,kicksonfire,49
52.0,SenaJnr,50
51.0,GettyImages,51
50.0,lifeaftersav,52
49.0,mharrisonair,53
49.0,AvarieH,54
49.0,KBgfx_,55
49.0,TRANSITlONTATUM,56
48.0,Topspur_Niall,57
47.0,Limbs_AOTS,58
45.0,techinsider,59
45.0,monfactory_bot,60
44.0,kartikr99,61
44.0,KahilAlArab,62
43.0,IamNomad,63
41.0,_nate9,64
40.0,PaetenBurke,65
40.0,jennaezarik,66
40.0,glossyaries,67
39.0,biolakazeem,68
39.0,CroquetaPapi,69
38.0,TeamUSA,70
37.0,Braves,71
36.0,LacedKryptonite,72
35.5,SBNationCFB,73
35.0,Gary_Bainbridge,74
35.0,88kaidlin,75
34.0,Greg_Kett,76
34.0,dphsfootball,77
34.0,extrabaggs,78
33.666666666666664,cfc_wale,79
33.5,PGSports,80
33.0,WNYRollerHockey,81
31.0,MissyXMartinez,82
31.0,_mrniles,83
31.0,marshallhughes,84
31.0,SuperMarioFact,85
30.5,LaureusSport,86
30.0,sweetdreaming96,87
30.0,RecepOzcann,88
29.0,lyric_awilliams,89
29.0,OhMrWonka,90
28.0,oldrowucf,91
28.0,PostTribSports,92
28.0,OUGrowU,93
28.0,LacrosseCave,94
27.666666666666668,barrystanton61,95
27.0,jimenaofficial,96
27.0,Rosenbergradio,97
27.0,AttractionPics,98
26.75,McClain_on_NFL,99
26.0,JeannieG40,100
26.0,edsbs,101
26.0,AustinMalema,102
25.0,nicmoore15,103
25.0,voguemagazine,104
25.0,LeTotinos,105
25.0,IFAFMedia,106
25.0,verge,107
25.0,JamieMoore777,108
24.0,james_canoles,109
24.0,M_R_Thomp,110
24.0,360CT,111
24.0,McNivenMichael,112
24.0,Shannon_FlyGuy,113
23.0,Alex_Naddour,114
23.0,alissadamsbby,115
23.0,icecube,116
