Descending order of local infl score,user@mention,Rank
3108.0,NCAAsoftball,1
2286.0,anthonypadilla,2
1861.0,abzdotmo,3
1824.0,ryanrodigwfrv,4
1534.0,whitsiee,5
1527.0,jackdre02,6
1361.0,Gingerhazing,7
1309.5,SaraSampaio,8
1027.0,TeaPainUSA,9
934.0,PFTCommenter,10
933.0,espn,11
932.0,ATLUTD,12
898.0,JOEL9ONE,13
849.0,AJEnglish,14
780.0,NaijaClassCapt,15
757.0,Alhilal_EN,16
747.0,nicole_d2,17
626.0,RobSummerfield1,18
601.0,PopCrave,19
541.0,scottybateman28,20
498.0,StephMcMahon,21
405.0,EAA_Len,22
404.0,ClintFalin,23
348.75,hqsports,24
303.0,BenStandig,25
281.0,alialgofaily,26
261.0,BleacherReport,27
258.0,JamisonBrook,28
245.0,Warrior_omz,29
242.0,hphungkc,30
219.0,zartajgulwazir,31
214.0,phoebe_short,32
207.0,RogueNASA,33
191.0,MTV,34
188.0,NBCOlympics,35
172.0,wakefield00,36
164.0,RealAlexJones,37
158.0,ManUtdsUpdate,38
152.0,phoebelouise_x,39
147.0,WWA_Awareness,40
135.0,swilkinsonbc,41
127.0,thecheckdown,42
127.0,QueerXiChisme,43
125.0,nytopinion,44
113.0,DannyKirmond12,45
103.0,Renaissigh,46
103.0,urvillageidiot,47
102.66666666666667,LovellLowdown,48
96.0,highkin,49
95.0,RealMiguelCotto,50
91.0,Nigerianscamsss,51
91.0,codycoil,52
87.0,Devils_Latest,53
85.0,YayerGangCoolee,54
84.0,platingpixels,55
84.0,jadorelacouture,56
83.0,existentialcoms,57
82.0,WorldofIsaac,58
81.0,City_Watch,59
78.0,chopinseimei,60
77.0,StandWithUs,61
76.0,KyleBusch,62
76.0,SampsonWoof,63
75.0,SandhuMMA,64
75.0,MuggleNet,65
75.0,OfficialAGVotes,66
73.0,bitchically,67
72.6,UltraAutistic,68
72.0,dominiquesinger,69
72.0,loookatmeimkiad,70
72.0,BrazilStat,71
71.0,_alexissbrown_,72
71.0,DeRozenDntCare,73
70.0,_JackN4Tweetz_,74
66.0,BDavisAAS,75
66.0,royalkangdaniel,76
66.0,SalSports,77
65.0,nytimes,78
64.0,RealGlenMacnow,79
59.0,pointlesslettrs,80
59.0,RedorDead07,81
58.0,BrainPornNinja,82
57.0,danawhite,83
57.0,TheOnlyCharlesB,84
55.0,Softball_Troubl,85
55.0,IndianaFootball,86
54.0,DZangaroNBCS,87
53.25,ClayTravis,88
52.0,spurs,89
52.0,outsports,90
52.0,StanCollymore,91
51.142857142857146,darrenrovell,92
51.0,ImaniDernee,93
49.0,YourSenpapii,94
49.0,noonbinary,95
47.0,NationalNOW,96
46.0,fahedalemadi,97
46.0,codygardner53,98
45.0,CooperTeare,99
45.0,sandicheekspv,100
45.0,svydu,101
44.0,ParticipACTION,102
43.5,Saints,103
43.333333333333336,OldTakesExposed,104
43.0,SEPolkRams,105
43.0,AllHailSupreme,106
42.0,FloVolleyball,107
42.0,CBNewspaper,108
41.0,IgorEronko,109
41.0,btsportmotogp,110
41.0,simon_shargot,111
41.0,CalumUpdating,112
41.0,__tuala,113
41.0,NYRangers,114
41.0,gizmotimestech,115
40.0,NYDoorman,116
40.0,Andresvar_99,117
39.5,Rocky_Top_Fever,118
39.0,JohnStensholt,119
39.0,IXIAcom,120
38.4,Tennis,121
