Descending order of local infl score,user@mention,Rank
1370.0,ARmastrangelo,1
924.0,BillieJeanKing,2
173.0,CardsFromAttic,3
36.0,IowaCubs,4
34.0,55krissi55,5
31.0,peteroche,6
30.0,AntWadley325,7
21.0,counterchekist,8
20.0,drkyle4congress,9
19.0,TWilsonOttawa,10
19.0,Kristian_Walsh,11
17.0,AndrewKingMLS,12
17.0,TheAMSSM,13
17.0,DowChemical,14
16.0,DaltonWBKO,15
13.0,heidimckmatron,16
12.0,HawgHatJoe,17
11.0,ERHSFB,18
11.0,CharleyCasserly,19
10.0,ConsuladoEspMel,20
10.0,StackSports,21
10.0,benjaminbaldwin,22
10.0,t_jaey,23
8.0,minney_haley,24
7.0,AnthonyUsu1,25
7.0,matoxley,26
6.0,SenatorHeitkamp,27
6.0,DiscoveryEd,28
6.0,CSX,29
6.0,winchester,30
6.0,matt_a56,31
6.0,hurdistance530,32
5.0,benmaller,33
5.0,NEQuakesJonas,34
5.0,AbedoSimour,35
5.0,profastpitch,36
5.0,mrevs_6,37
5.0,ChiefNisleit,38
5.0,505Nomad,39
5.0,FrameDeArt,40
5.0,ErgonomicDildo,41
4.0,sergioavila_4,42
4.0,SimplyUnrealHD,43
4.0,teamjantz,44
4.0,SFY,45
4.0,sheffREDSvBLUES,46
4.0,JRFegan,47
4.0,NaturalNetwork,48
4.0,OlneyTigerTrack,49
4.0,WCBballWolves,50
