Descending order of local infl score,user@mention,Rank
8.0,young_gotti2,229
8.0,Empress_Poison_,230
8.0,mercedro,231
8.0,ckamka,232
8.0,SCarolinaJoe,233
8.0,Fake_Buck,234
8.0,LEW18U_Oley,235
7.5,AllPassingThing,236
7.5,FLOWJamaica,237
7.5,ProRelForUSA,238
7.0,LFCTransferRoom,239
7.0,BarstoolTXST,240
7.0,mcmejia15,241
7.0,DrLynnPal1,242
7.0,SoarSuperEagles,243
7.0,DevinKCBD,244
7.0,LFCroundup,245
7.0,TheLydiaCruz,246
7.0,980cj,247
7.0,Svntvnv23,248
7.0,WorldFoodChamp,249
7.0,mbert21,250
7.0,Adnan_Zaheer,251
7.0,GraceUponIt,252
7.0,SikotiHamiltonR,253
7.0,sepwrestling,254
7.0,imani_dp,255
7.0,myknittingwool,256
7.0,dirkchatelain,257
7.0,madcote,258
7.0,SaintXBaseball,259
7.0,leahbarness,260
7.0,Bryan700,261
7.0,DA_HAWAIIAN8027,262
7.0,FabienKalalaCim,263
7.0,UHDTrader,264
7.0,Caped_Humor,265
7.0,fitzhill,266
7.0,NelliesSk,267
6.5,OOSNSW,268
6.5,Ojdadana,269
6.0,nspimentel,270
6.0,ScottsdaleUSD,271
6.0,BrebeufC,272
6.0,CryptoGat,273
6.0,AlbionMBB,274
6.0,TeamTurnpikeLax,275
6.0,bayani13,276
6.0,JacquelineUWA,277
6.0,Knockaround,278
6.0,PCWULTRA,279
6.0,BTSOT7jinstan1,280
6.0,ZealousFoX,281
6.0,DCDownUnder,282
6.0,goldpolisher,283
6.0,CanWarMuseum,284
6.0,welwynpegasusfc,285
6.0,SmilerSuperGirl,286
6.0,MaizeSouthAD,287
6.0,GobleLikeNoble,288
6.0,WWECritics,289
6.0,ConnorLovell,290
6.0,tayloreldridge,291
6.0,23_jumi,292
6.0,tjhewetson,293
6.0,WVUblue_gold,294
6.0,corliss_bean,295
6.0,CoolSculpting,296
6.0,LoveBridgnorth,297
6.0,MGuzman_Detroit,298
6.0,CurtisBlow304,299
6.0,swing_seam,300
6.0,H_Grove,301
6.0,WineMixers,302
6.0,FenstySports,303
6.0,CodyNesporSRU,304
6.0,inkedtater,305
6.0,iam_jt3,306
6.0,CoHarris_Hoops,307
6.0,TechBBall,308
6.0,KYJ_Fighting,309
6.0,boasportsclub,310
6.0,CST_soxvan,311
6.0,NFLAlumni,312
6.0,OhsnapItsJenni,313
6.0,eliteexposure_,314
6.0,USArmyBaylorDPT,315
6.0,UKinTunisia,316
6.0,MouseRat_Fan,317
5.5,CoachUdofia,318
5.5,SmartState1,319
5.333333333333333,theballera,320
5.0,WalkertownHigh,321
5.0,Aya__Marie,322
5.0,mazdzer,323
5.0,ringsau,324
5.0,greasy_jr,325
5.0,PatMcManamon,326
5.0,NC_DECA,327
5.0,Equarius_Bldstk,328
5.0,POETICDRINK2U,329
5.0,YahooForde,330
5.0,KoachElder,331
5.0,arupofficial14,332
5.0,HburgClinic,333
5.0,Clement_Madrid_,334
5.0,SodSolutions,335
5.0,JayPaterno,336
5.0,TheLesterLee,337
5.0,CropOverHUB,338
5.0,Elijvhsoliz,339
5.0,RESERvedlizGiz,340
5.0,ItalyUN_NY,341
5.0,cfaAthletics,342
5.0,reaganroy,343
5.0,SamanthaSinger_,344
5.0,Nikki528,345
5.0,MalteseAnna,346
5.0,ETNreisenweber,347
5.0,ayenoah__,348
5.0,MadeForPhilly,349
5.0,NewmarketLib,350
5.0,USAStadium,351
5.0,4Jschools,352
5.0,shiyanming,353
5.0,ziu_hkrsrtm,354
5.0,RedRaiderAD,355
5.0,TeamILR,356
5.0,TheFliteCast,357
5.0,ConnerPrairie,358
5.0,UWI_StAugustine,359
5.0,TheRealMrACL,360
5.0,savejmpsoftball,361
5.0,CatholicRevivl,362
5.0,Sandy_D_Rooney,363
5.0,aedison,364
5.0,sadgaytrash,365
5.0,MRobertsQLD,366
5.0,per_jacob_solli,367
5.0,damndestinee_,368
5.0,ppapoker,369
5.0,PetersenWill,370
5.0,MaestroCares,371
5.0,CSShowcase_LV,372
5.0,ajsconnect,373
5.0,JacindaBunch,374
5.0,WINYRadio,375
5.0,trigonis30,376
5.0,DEpressON2,377
5.0,bcringette,378
5.0,announcerphil,379
5.0,NoonInKorea,380
5.0,SteveCaritas,381
5.0,Oatesspecialty,382
5.0,CoachL1,383
5.0,FrappMocha,384
5.0,ShockZ314,385
5.0,polevaultpower,386
5.0,LOLKNBR,387
5.0,KarismaLucatero,388
5.0,0utfitRepeater,389
5.0,jaxdotcom,390
5.0,HipsterRugby,391
4.5,SBRadio,392
4.5,ACL_prevention,393
4.333333333333333,AaronBower,394
4.0,Saturday1400,395
4.0,joe02476,396
4.0,WmptMillionaire,397
4.0,NJTags13,398
4.0,HowardxBloom,399
4.0,NovusOrdoWatch,400
4.0,2WheelTonio,401
4.0,jeffphilips1,402
4.0,LuckyLanceWins,403
4.0,MidlandMencapUK,404
4.0,amysrosenberg,405
4.0,JaimeBoswell2,406
4.0,saveautohistory,407
4.0,thepotatofarmer,408
4.0,CSAPrepStarWNY,409
4.0,all_right_Miami,410
4.0,Gingerwombat,411
4.0,myouisen,412
4.0,IAmBirmingham,413
4.0,ThruTheBridle,414
4.0,HollandWrestlin,415
4.0,ShawsideJ,416
4.0,MusclesMurphy,417
4.0,smoogymma,418
4.0,Buffalo_Schools,419
4.0,drrobgilbert,420
4.0,MedwaySport,421
4.0,_caseyahyavi,422
4.0,COPSandKIDSca,423
4.0,GadgetFlow,424
4.0,Lily_Warrior,425
4.0,MountainsStars,426
4.0,the_moviebob,427
4.0,KweiksLive,428
4.0,abby__sams,429
4.0,SouthOCsports,430
4.0,hartlepool_ra,431
4.0,system_complex,432
4.0,TopHeavyweights,433
4.0,Coach_Kretz,434
4.0,BearPawChris,435
4.0,KyleNewmanDP,436
4.0,CristinaNcl,437
4.0,TGfUInfo,438
4.0,02Blas,439
4.0,HighInterestGuy,440
4.0,FourRedShoes,441
4.0,_Finesse2x,442
4.0,SisiWananchi,443
4.0,rogerscup,444
4.0,GGATXRealtor,445
4.0,GoDragonsAD,446
4.0,Mass_STEMHub,447
4.0,CSmithScout,448
4.0,shoepick22,449
4.0,TrineUniversity,450
4.0,globalsportuva,451
4.0,traciskene,452
4.0,WARFRadio,453
4.0,scfcsupporters,454
4.0,olawalesmd,455
4.0,TeamStreamAlex,456
