Descending order of local infl score,user@mention,Rank
3360.0,elonmusk,1
1333.0,AngeliPV,2
896.0,doyou_bangtan,3
567.0,Saber_Says,4
351.0,KySportsRadio,5
102.0,readDanwrite,6
91.0,Eleanor_Greet,7
71.0,FuckYTFragility,8
64.0,mcten,9
58.0,FootyAccums,10
57.0,Pirates,11
53.0,PunishPence,12
49.5,WallyCummins,13
39.0,GVLeasing,14
38.5,IsimaOdeh,15
33.0,EricChumbler,16
31.0,Raaderer8,17
28.0,Shefit,18
28.0,ItalyMagazine,19
26.0,ArmstrongTroy,20
24.0,Bellagardner71,21
23.0,Real_IkennaObi,22
23.0,Ex67T20,23
22.0,AbramsonFL,24
21.0,pyanity,25
16.0,PhilSzostak,26
14.0,DLDesignerCraft,27
13.0,WoburnYearbook,28
13.0,vcpirategolf,29
13.0,haayyita,30
12.5,Limited66702616,31
12.0,ZwebackHD,32
12.0,follow_cobras,33
11.0,Murphhyy_,34
10.0,eRepublicUSA,35
10.0,zenzurzb24,36
10.0,Gistoffreedom,37
10.0,BlairImani,38
9.0,Padres,39
9.0,CoachIvlow,40
9.0,uSTADIUM,41
9.0,DelOroBaseball,42
9.0,deedeesade,43
8.0,mgiannotto,44
8.0,Perorationer,45
8.0,RODiculous04,46
8.0,4davidrenn,47
8.0,RidertownUSA,48
8.0,korenarebecca,49
8.0,CelticFCAcademy,50
8.0,KSpaceAcademy,51
8.0,mostwiselatina,52
7.5,ANI,53
7.5,BenStinar,54
7.0,theBlakeDavis,55
7.0,RecchiaAlex,56
7.0,CFL_PR,57
7.0,johnfayman,58
7.0,HouseOf99,59
7.0,AthleticsLCHS,60
7.0,alejandro7419,61
7.0,kuklaskorner,62
7.0,GwoodGrlsSoccer,63
7.0,SuperEricRogers,64
7.0,RandySullivanPT,65
7.0,rayon_sports,66
7.0,TRISTAR1,67
6.333333333333333,JordanGatesPGOV,68
6.0,RickSpur,69
6.0,Lisalulu777,70
6.0,btsportufc,71
6.0,EddieTimanus,72
6.0,Mercomatic,73
6.0,YoniFreedhoff,74
6.0,YearOfFestivals,75
6.0,GameTimeCollect,76
6.0,jvharris65,77
5.666666666666667,wildcatnews,78
5.5,GregLogan1,79
5.5,thors_odinson,80
5.384615384615385,mlnostalgia,81
5.333333333333333,BA_Turner,82
5.0,kennadeemer,83
5.0,Alshehri_dr1,84
5.0,coachmealer,85
5.0,_thrivesports,86
5.0,AriesSpears,87
5.0,AndyBarba22,88
5.0,UnexpectedReply,89
5.0,ItalianoCalcio,90
5.0,smallhistory,91
5.0,diverbetic,92
5.0,hartng,93
5.0,JanJekielek,94
5.0,VtgBluMoon,95
5.0,shayshay_parekh,96
5.0,rvkgrapevine,97
4.5,CGSportsNetwork,98
4.0,terryjay55,99
4.0,jakelaub20,100
4.0,WesternRattlers,101
4.0,abinmbr,102
4.0,FromThursSweat,103
4.0,WarrenKembel,104
4.0,selahfootball,105
4.0,ConcussionLF,106
4.0,matt_barlowe,107
4.0,HPluckrose,108
4.0,NavajoEquality,109
4.0,asifahsankhan,110
4.0,paulosenra,111
4.0,CaptainJLasc,112
4.0,Tonyfitzmauric2,113
4.0,PulaskiSoftbal,114
4.0,Feministory,115
4.0,ego_biggest,116
