Descending order of local infl score,user@mention,Rank
1333.0,AngeliPV,1
896.0,doyou_bangtan,2
351.0,KySportsRadio,3
102.0,readDanwrite,4
91.0,Eleanor_Greet,5
72.0,MomoMadeinJapan,6
71.0,FuckYTFragility,7
64.0,mcten,8
49.5,WallyCummins,9
39.0,GVLeasing,10
38.5,IsimaOdeh,11
31.0,Raaderer8,12
24.0,Bellagardner71,13
23.0,Real_IkennaObi,14
20.0,thesolerestocks,15
14.666666666666666,BoxingKingdom14,16
14.0,DLDesignerCraft,17
13.0,paida_garwe,18
13.0,haayyita,19
12.333333333333334,thesolesupplier,20
12.0,wcisports,21
12.0,follow_cobras,22
12.0,wrestlingmatch,23
12.0,rmsexuality,24
11.0,Murphhyy_,25
11.0,LeeAnnStar23,26
10.0,eRepublicUSA,27
10.0,Gistoffreedom,28
10.0,BlairImani,29
9.0,CoachIvlow,30
9.0,uSTADIUM,31
8.0,mgiannotto,32
8.0,CelticFCAcademy,33
8.0,RhiPonies,34
8.0,teonalashay,35
8.0,WestcoastCfb,36
8.0,mostwiselatina,37
7.0,PBATour,38
7.0,LLH713,39
7.0,AthleticsLCHS,40
7.0,GwoodGrlsSoccer,41
6.0,Lisalulu777,42
6.0,Mercomatic,43
6.0,YearOfFestivals,44
6.0,pythagoNRL,45
6.0,GameTimeCollect,46
5.666666666666667,wildcatnews,47
5.333333333333333,BA_Turner,48
5.0,coachmealer,49
5.0,Jrake_17,50
5.0,HaynerSportBarn,51
5.0,AriesSpears,52
5.0,VtgBluMoon,53
4.5,CGSportsNetwork,54
4.0,terryjay55,55
4.0,abinmbr,56
4.0,matt_barlowe,57
4.0,HPluckrose,58
4.0,paulosenra,59
4.0,3HL1045,60
4.0,Holwelsportsguy,61
4.0,Autotestdrivers,62
4.0,CoachStinnett,63
4.0,YMCA_Calgary,64
4.0,gregbettinelli,65
3.0,PadresCentral,66
3.0,SanamTweet,67
3.0,nofish_nonuts,68
3.0,PaintedbyCarol,69
3.0,CPAMrBrown,70
3.0,timelessnotions,71
3.0,DirectRays,72
3.0,NBADraftGod,73
3.0,JesseNFriedman,74
3.0,SkyeUnited,75
3.0,nfansu,76
3.0,JamaicaGleaner,77
3.0,CioAmaro,78
3.0,FishUSA,79
3.0,OfficialHHHCSD,80
3.0,Miami_Waves,81
2.5,LouisianaKnight,82
2.5,zumba_zoe,83
2.5,BBallInsiders,84
2.0,GodAmn3sia,85
1.5,TalkingScars,86
1.5,PottiTeam,87
1.5,SunflowerSpa1,88
1.2,nucfootball,89
1.0,bowcycle,90
1.0,Woodsy1069,91
