user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
lacesyourfriend,52918149,1,1003787675793547264,3,3.0,Whether it is sports health school your side hustle- literally anything:IT’S A PROCESS IT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESSIT’S A PROCESS
blogziwells,98784530,1,1007735866159194115,3,3.0,Gif of Kobe with dame head throwing lob to Shaq with dame head cut to lakers guy pointing at lakers chain with dame head lakers bros amazed with Dame heads and Nash Howard on sports illustrated cover with dame heads Kobe Oscar trophy with dame head
