Descending order of local infl score,user@mention,Rank
3360.0,elonmusk,1
1370.0,ARmastrangelo,2
567.0,Saber_Says,3
384.0,GTBaseball,4
207.0,GetOnSwag,5
173.0,CardsFromAttic,6
128.0,MikeGarafolo,7
125.0,AndyOstroy,8
124.0,nicole_mendes_,9
61.0,politico,10
58.0,FootyAccums,11
57.0,Pirates,12
56.0,OtiAdjei,13
53.0,PunishPence,14
47.5,SecretMovesMMA,15
38.0,ChelsTransfer,16
36.0,IowaCubs,17
34.0,55krissi55,18
33.0,EricChumbler,19
31.0,peteroche,20
29.0,UA_Athletics,21
28.0,Shefit,22
28.0,ItalyMagazine,23
26.0,ArmstrongTroy,24
24.0,tokenpay,25
23.0,richard_conway,26
23.0,Ex67T20,27
22.0,AbramsonFL,28
22.0,UQPoche,29
22.0,DanielleDwyerTV,30
21.0,pyanity,31
21.0,dawson_johnsonn,32
19.0,kcg__,33
19.0,Kristian_Walsh,34
18.0,_pivx,35
18.0,_HelenHollywood,36
17.666666666666668,FCBarcelonaFl,37
17.0,AndrewKingMLS,38
17.0,dev9t9ok,39
16.0,PhilSzostak,40
15.0,cjponyparts,41
15.0,Trojanpak_2019,42
15.0,ReadMoreBible,43
14.0,NorthTexan,44
14.0,JohnMcCarthyMMA,45
14.0,CoachFerrell1,46
14.0,da13thsun,47
14.0,DennisGucci,48
14.0,numbrrzz,49
13.0,WoburnYearbook,50
13.0,vcpirategolf,51
13.0,ukshaolintemple,52
12.5,Limited66702616,53
12.0,ZwebackHD,54
12.0,LFCknowledge,55
12.0,EnjoyInterNews,56
12.0,AlexKennedyNBA,57
12.0,airmax_power,58
12.0,HawgHatJoe,59
12.0,TheNightGallery,60
11.75,StevenKelsey13,61
11.0,CivvyKarla,62
11.0,DrDiscHamilton,63
11.0,ERHSFB,64
11.0,JrMoe_,65
11.0,Namouniho,66
10.0,ConsuladoEspMel,67
10.0,BearArchery,68
10.0,zenzurzb24,69
10.0,t_jaey,70
10.0,IntFSPT,71
10.0,QuintusCurtius,72
10.0,BardishKW,73
10.0,CarvalhoJTElite,74
9.5,WestmorelandSN,75
9.0,PvBoiZeroni,76
9.0,MMindrumMD,77
9.0,Padres,78
9.0,BarstoolSam,79
9.0,GB_Dolphins,80
9.0,DelOroBaseball,81
9.0,AlthausEJC,82
9.0,baDnewSanalysT,83
8.0,Perorationer,84
8.0,SLSAustralia,85
8.0,RODiculous04,86
8.0,4davidrenn,87
8.0,RidertownUSA,88
8.0,korenarebecca,89
8.0,whynotcourt,90
8.0,KSpaceAcademy,91
8.0,ckamka,92
7.5,ANI,93
7.5,BenStinar,94
7.5,ProRelForUSA,95
7.0,BarstoolTXST,96
7.0,theBlakeDavis,97
7.0,RecchiaAlex,98
7.0,WorldFoodChamp,99
7.0,mbert21,100
7.0,GraceUponIt,101
7.0,CFL_PR,102
7.0,SikotiHamiltonR,103
7.0,matoxley,104
7.0,myknittingwool,105
7.0,johnfayman,106
7.0,SaintXBaseball,107
7.0,leahbarness,108
7.0,Bryan700,109
7.0,HouseOf99,110
7.0,alejandro7419,111
7.0,kuklaskorner,112
7.0,UHDTrader,113
7.0,fitzhill,114
7.0,SuperEricRogers,115
7.0,RandySullivanPT,116
7.0,rayon_sports,117
7.0,TRISTAR1,118
6.5,HIC2016,119
6.5,Ojdadana,120
6.333333333333333,JordanGatesPGOV,121
6.0,BrebeufC,122
6.0,SenatorHeitkamp,123
6.0,RickSpur,124
6.0,btsportufc,125
6.0,Knockaround,126
6.0,goldpolisher,127
6.0,MaizeSouthAD,128
6.0,MarcJamesBryant,129
6.0,EddieTimanus,130
6.0,YoniFreedhoff,131
6.0,winchester,132
6.0,tayloreldridge,133
6.0,tjhewetson,134
6.0,CoolSculpting,135
6.0,CurtisBlow304,136
6.0,H_Grove,137
6.0,inkedtater,138
6.0,iam_jt3,139
6.0,KYJ_Fighting,140
6.0,jvharris65,141
6.0,hurdistance530,142
6.0,USArmyBaylorDPT,143
5.5,GregLogan1,144
5.5,CoachUdofia,145
5.5,thors_odinson,146
5.384615384615385,mlnostalgia,147
5.333333333333333,theballera,148
5.0,WalkertownHigh,149
5.0,kennadeemer,150
5.0,Alshehri_dr1,151
5.0,PatMcManamon,152
5.0,POETICDRINK2U,153
5.0,_thrivesports,154
5.0,YahooForde,155
5.0,AndyBarba22,156
5.0,RESERvedlizGiz,157
5.0,reaganroy,158
5.0,ETNreisenweber,159
5.0,UnexpectedReply,160
5.0,ItalianoCalcio,161
5.0,smallhistory,162
5.0,RedRaiderAD,163
5.0,TheRealMrACL,164
5.0,Sandy_D_Rooney,165
5.0,sadgaytrash,166
5.0,ChiefNisleit,167
5.0,diverbetic,168
5.0,PetersenWill,169
5.0,MaestroCares,170
5.0,505Nomad,171
5.0,hartng,172
5.0,FrameDeArt,173
5.0,JanJekielek,174
5.0,LOLKNBR,175
5.0,shayshay_parekh,176
5.0,jaxdotcom,177
5.0,HipsterRugby,178
5.0,rvkgrapevine,179
4.5,SBRadio,180
4.0,WmptMillionaire,181
4.0,jakelaub20,182
4.0,jeffphilips1,183
4.0,WesternRattlers,184
4.0,SimplyUnrealHD,185
4.0,amysrosenberg,186
4.0,JaimeBoswell2,187
4.0,saveautohistory,188
4.0,ThruTheBridle,189
4.0,FromThursSweat,190
4.0,JRFegan,191
4.0,WarrenKembel,192
4.0,selahfootball,193
4.0,Buffalo_Schools,194
4.0,ConcussionLF,195
4.0,NavajoEquality,196
4.0,NaturalNetwork,197
4.0,abby__sams,198
4.0,SouthOCsports,199
