Descending order of local infl score,user@mention,Rank
955.0,FutMexNation,1
886.0,ClubFutbolEST15,2
665.0,pablo_zabaleta,3
497.0,Crunchyroll,4
409.0,dharmieKING,5
287.0,DatHurdler_Theo,6
261.0,lynzlovemoss,7
259.0,PatohShanqueels,8
258.0,Light_Iverson_,9
251.0,en_hahaha,10
241.0,TVietor08,11
225.0,TaeMelo,12
197.0,TheHerd,13
194.0,overtime,14
188.0,IndyFootball,15
163.0,PaulHawksbee,16
142.0,heslwtwoghosts,17
109.0,RodTheKicker3,18
107.0,football_mumble,19
98.0,_SOLISIS_,20
98.0,theunique_holly,21
94.0,HoopsWeiss,22
92.66666666666667,NetCastSports,23
89.0,falklands_utd,24
79.0,bycycle,25
76.0,crush_cafe,26
73.0,scotgov,27
71.0,SneakerPics23,28
68.0,Sports_Greats,29
67.0,ManUnitedZone_,30
65.5,makloubae,31
64.0,miraclesoftball,32
60.0,peta2,33
55.0,Sports22384807,34
55.0,ChaniThaHippie,35
52.0,SenaJnr,36
50.0,lifeaftersav,37
49.0,mharrisonair,38
49.0,AvarieH,39
49.0,KBgfx_,40
49.0,TRANSITlONTATUM,41
48.0,Topspur_Niall,42
47.0,Limbs_AOTS,43
45.0,monfactory_bot,44
44.0,KahilAlArab,45
43.0,IamNomad,46
41.0,_nate9,47
40.0,PaetenBurke,48
40.0,jennaezarik,49
40.0,glossyaries,50
39.0,biolakazeem,51
39.0,CroquetaPapi,52
38.0,TeamUSA,53
37.0,Braves,54
36.0,LacedKryptonite,55
35.5,SBNationCFB,56
35.0,Gary_Bainbridge,57
35.0,88kaidlin,58
34.0,dphsfootball,59
34.0,extrabaggs,60
33.5,PGSports,61
31.0,MissyXMartinez,62
31.0,_mrniles,63
30.5,LaureusSport,64
30.0,sweetdreaming96,65
30.0,RecepOzcann,66
29.0,lyric_awilliams,67
28.0,oldrowucf,68
28.0,PostTribSports,69
28.0,LacrosseCave,70
27.666666666666668,barrystanton61,71
27.0,jimenaofficial,72
27.0,Rosenbergradio,73
27.0,AttractionPics,74
26.0,JeannieG40,75
26.0,AustinMalema,76
25.0,nicmoore15,77
25.0,LeTotinos,78
25.0,verge,79
25.0,JamieMoore777,80
24.0,james_canoles,81
24.0,M_R_Thomp,82
24.0,360CT,83
24.0,Shannon_FlyGuy,84
23.0,Alex_Naddour,85
23.0,alissadamsbby,86
23.0,icecube,87
22.5,lynieg88,88
22.0,Dbacks,89
22.0,Detroit_te,90
21.5,mike_mcguigan,91
21.0,absent_gravity,92
21.0,DRossingh,93
21.0,CowbellsForever,94
21.0,kevinmarcoux9,95
21.0,JuiceBeHoopin,96
20.0,lindseyyok,97
20.0,WSJ,98
20.0,appstatesports,99
20.0,AndyReidXI,100
20.0,skoobiman,101
19.0,aerincreer,102
19.0,XHSports,103
19.0,andy_mocahbee,104
19.0,JaredDudley619,105
19.0,deswhitaker,106
18.2,Raymond_Norman,107
18.0,RLynxes,108
18.0,018jasmin,109
18.0,jswilliams1962,110
18.0,BOOKPRlNCESS,111
17.5,NBCSports,112
17.0,Sooners247,113
17.0,HitmanHolla,114
17.0,kaitlynyanish,115
17.0,lolpython,116
17.0,Satuurn_,117
17.0,outmagazine,118
16.0,Samuel_Rosales_,119
16.0,Clyon300,120
16.0,prettyyngshawna,121
16.0,PaulGlazier,122
16.0,Macdongov,123
16.0,WooPigHogFan,124
16.0,swirps,125
16.0,Chaantellie,126
15.833333333333334,BelievePHQ,127
15.0,IrishBlaineF1,128
15.0,FitnessMagazine,129
15.0,AndreGwilliam,130
15.0,janecampbeII,131
15.0,LeBronGOATMode,132
15.0,aquarih03,133
14.0,SBNation,134
14.0,BLOODOATHR,135
14.0,PJMedia_com,136
14.0,ajarunstrack,137
14.0,BarstoolChief,138
14.0,kylesockwell,139
13.5,TheMcBang,140
13.0,aniisaahmed_,141
13.0,nwdabsports,142
13.0,fun88eng,143
13.0,tysonmac5,144
13.0,Tulpa18,145
13.0,KaelyMcKinney,146
13.0,madamenamio,147
13.0,jennyxmoreau,148
13.0,Aallison_TN,149
13.0,SausedaBreanna,150
12.5,BrazilEdition,151
12.5,Mike_Buda,152
12.333333333333334,MinYouthSports,153
12.0,torimillss,154
12.0,acelineplaze,155
12.0,KeelyHayden04,156
12.0,harrybop,157
12.0,TruUKFan,158
12.0,goldenknightgfx,159
12.0,TomiOlava,160
12.0,premrugby,161
12.0,nolimitsmar,162
12.0,headhunter_kamg,163
12.0,CoachMWalker,164
12.0,knights_ohs,165
12.0,KenCarman,166
12.0,pustiney,167
11.0,dannacantu_3,168
11.0,beyondreasdoubt,169
11.0,aligatorita,170
11.0,octahedr0n,171
11.0,L_makovora,172
11.0,adajonuse,173
11.0,Lefty_Leif,174
11.0,Ballforlfye,175
11.0,NickPoynter25,176
11.0,jjoyyyj,177
11.0,playbykay,178
11.0,TRL,179
11.0,_icecooooold,180
11.0,PsyQo_Kolby,181
11.0,JDunnah,182
11.0,ItsBambzzBruh,183
11.0,emuhh_leee,184
11.0,Iona_Marvel,185
11.0,TerraceLife_,186
11.0,ethan11kovach,187
10.0,TSN_Sports,188
10.0,GreyTheTick,189
10.0,abbyfryxell,190
10.0,mmoosa16,191
10.0,gio10_99,192
10.0,Rad_Wizards_Fan,193
10.0,_kchambers_,194
10.0,EwuraAbena18,195
10.0,jacob_morin_,196
10.0,scottbails13,197
10.0,batigersports,198
10.0,josh_salisbury,199
10.0,T_RackzSa,200
10.0,lexi_freeman22,201
10.0,IsaiahEnglish13,202
9.666666666666666,ForzaCorrado,203
9.5,l_Love_Sports,204
9.333333333333334,16th_Sports,205
9.0,packbrewfan1,206
9.0,WVMetroNews,207
9.0,Vicenteuribe10,208
9.0,onlyasianle,209
9.0,eric_agu1rre2,210
9.0,marissadelcas,211
9.0,CCMachine,212
9.0,21Fxg,213
9.0,Los_999,214
9.0,steffartnieee,215
9.0,mizabitha,216
9.0,OzarksOzone,217
9.0,maritzaladiosa,218
9.0,NorthumMam,219
9.0,davidfolse,220
9.0,pupazzaro,221
9.0,naudiarenee,222
9.0,sugaplum643,223
9.0,jazzy3463,224
9.0,bennecker23,225
9.0,teresaagarzaa,226
9.0,drinkingbeerman,227
9.0,tappetgap,228
8.5,TwitterMoments,229
8.0,AltonCricket,230
