Descending order of local infl score,user@mention,Rank
5534.0,GovMikeHuckabee,1
2707.0,TheNickGeller,2
1004.0,sugafull27,3
940.0,CrossProb,4
924.0,BillieJeanKing,5
714.0,Michael_Buffer,6
700.0,jamescharles,7
632.0,BaseballCentraI,8
610.0,JasonManford,9
427.0,John_Kavanagh,10
369.0,utdxtra,11
302.0,iubiscuit,12
270.0,SemWrestling,13
249.5,ramyeonduo,14
222.0,AlbertBreer,15
198.0,OhMyGoal_US,16
178.0,kenbensinger,17
174.0,Patricia_J,18
169.0,DaPatMac,19
164.5,sbell021,20
160.0,BadgerFootball,21
158.0,PamelaGeller,22
144.0,Oliver__Bond,23
141.0,dabeard,24
135.0,aidosaur,25
130.0,Salansar1,26
126.0,btowncoachmay,27
125.0,dawnstaley,28
122.0,TheTayaValkyrie,29
110.0,RealTimeWWII,30
104.0,renoomokri,31
100.0,aakhtar,32
96.0,AnimalLeague,33
92.0,DylanGeick,34
90.0,BatcatPosts,35
89.0,DrNicolasHart,36
86.0,dfstoken,37
85.0,MrArsenicTM,38
83.0,SocialistVoice,39
81.0,BTSportBoxing,40
74.0,allaboutayannaa,41
73.0,Realmadridplace,42
72.0,NRandonFactor,43
72.0,lthomasnews,44
68.33333333333333,LorelaisLife,45
64.5,2ndHalfPlays,46
59.0,MikeSullivan,47
59.0,LeslieSmith_GF,48
58.0,rpadnis,49
57.0,4freedominiran2,50
55.0,HermanDHerman,51
55.0,naexjr,52
54.0,RedNationBlogga,53
54.0,cuttingedge2019,54
52.0,besttravelbook,55
51.0,SofaRacer,56
51.0,killakow,57
50.0,DNA_GTFOH,58
49.0,dbrainio,59
46.0,brayden_mcmahan,60
43.0,ORachaelO,61
43.0,tobiologist,62
41.0,SkySportsF1,63
41.0,Edwin_Disla,64
41.0,Sammy_Goal,65
40.0,pressfreedom,66
39.5,KennyMcPeek,67
39.0,lizziethat,68
39.0,cgtnamerica,69
39.0,unitlostgaming,70
38.0,ashtonsims26,71
38.0,newsdaymarcus,72
38.0,VikingAthletics,73
37.0,GrahamWP_UK,74
36.0,NuhuAdams_,75
36.0,stevedittmore,76
36.0,WaywardWinifred,77
36.0,ZhuzhengtingT,78
35.0,teamplayup,79
35.0,_BlakeEddins,80
34.5,PHLSixersNation,81
34.0,NoahHenson98,82
34.0,CPJAfrica,83
34.0,coreyssportsbar,84
34.0,Castricone,85
33.0,CrowfootJim,86
33.0,raviubha,87
33.0,JessicaMorrey,88
32.0,IndyCar,89
32.0,CLAY5ROSS,90
32.0,J_rawww_,91
32.0,UniKLOfficial,92
32.0,TFCOpicks,93
31.0,nyleakeel23,94
31.0,gtrebble17,95
31.0,BET,96
30.0,ManFRIDAY_,97
30.0,AntWadley325,98
29.0,DiracDrynx,99
29.0,Bodybuildingcom,100
29.0,JFR_Racing,101
29.0,Jonathanjoseph0,102
29.0,DemolaRewaju,103
29.0,NuttySam,104
28.0,croatiaheritage,105
28.0,ThatDamnYank,106
27.0,Chicago_History,107
27.0,xavoryx,108
27.0,JayGlazer,109
27.0,The_SIM_Pod,110
26.0,nytimesworld,111
26.0,Taylor_McGregor,112
26.0,danny_lorah,113
26.0,KeithOlbermann,114
25.0,swearimnotpaul,115
25.0,peugeotsport,116
25.0,donsummerone,117
25.0,Edinburgcisd,118
25.0,MyTPI,119
24.0,ChaimaeB13,120
24.0,VixenScience,121
23.0,QueenKennKayy,122
23.0,JeffPassan,123
23.0,YESNetwork,124
23.0,LukaDoncicNews,125
23.0,KerryLynne36,126
23.0,thekickart,127
23.0,carlosolin,128
22.0,laurenfleshman,129
22.0,Childrensfood,130
22.0,aSaferApproach,131
22.0,FSMidwest,132
22.0,searchfm923mx,133
21.0,counterchekist,134
21.0,TroyBramston,135
21.0,ArsenalNexus,136
21.0,bdtwoodson,137
21.0,forevernaiya,138
21.0,zeusFanHouse,139
21.0,Gdad1,140
21.0,ihavebeensober,141
20.0,TrunkmanUK,142
20.0,nvrwlkln,143
20.0,IndianCharlie1,144
20.0,ThaboSenong,145
20.0,dezmountie5,146
20.0,drkyle4congress,147
19.0,TWilsonOttawa,148
19.0,orwellguy,149
19.0,PitchingNinja,150
19.0,CelinaPompeani,151
19.0,mattlyynch,152
19.0,PeteSampson_,153
19.0,BulawayoChiefs,154
19.0,gatnash,155
19.0,MercPurdy,156
19.0,Blake51J,157
19.0,MoondanceGiving,158
19.0,usbank,159
18.5,TheRealJHair,160
18.0,Pride_Portraits,161
18.0,KingsTheBrand,162
18.0,notesfrompoland,163
18.0,addujpice,164
18.0,SufferBall,165
18.0,JClarkNBCS,166
18.0,YordenisUgas,167
18.0,Babgonewild,168
17.0,andrew_ruscoe,169
17.0,GracelandU_MBB,170
